Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie;Fabrikant;Model;Ziekenhuizen in associatie
10191;10;3190;GRAND HOPITAL DE CHARLEROI;Montignies-sur-Sambre;Henegouwen;Siemens;SIEMENS-SOMATOM Emotion;Er bestaat geen associatie voor dit toestel
10192;10;3180;GRAND HOPITAL DE CHARLEROI;Gerpinnes;Henegouwen;Siemens;SIEMENS-SOMATOM Emotion;Er bestaat geen associatie voor dit toestel
10194;525;1940;ALGEMEEN ZIEKENHUIS DAMIAAN;Oostende;West-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Flash;Er bestaat geen associatie voor dit toestel
10195;525;1940;ALGEMEEN ZIEKENHUIS DAMIAAN;Oostende;West-Vlaanderen;Siemens;SIEMENS-SOMATOM Emotion;Er bestaat geen associatie voor dit toestel
10196;20;3010;"CENTRE HOSPITALIER REGIONAL DE
VERVIERS";Verviers;Luik;Siemens;SIEMENS-SOMATOM Definition AS;Er bestaat geen associatie voor dit toestel
10197;20;3010;"CENTRE HOSPITALIER REGIONAL DE
VERVIERS";Verviers;Luik;Siemens;SIEMENS-SOMATOM Definition AS+;Er bestaat geen associatie voor dit toestel
10199;707;3860;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Luik;Luik;Siemens;SIEMENS-SOMATOM Sensation;Er bestaat geen associatie voor dit toestel
10200;707;2840;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Chênée;Luik;Siemens;SIEMENS-SOMATOM Sensation;Er bestaat geen associatie voor dit toestel
10201;707;3860;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Luik;Luik;Siemens;SIEMENS SOMATON DEFINITION;Er bestaat geen associatie voor dit toestel
10202;707;3860;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Luik;Luik;Siemens;SIEMENS-SOMATOM Emotion;Er bestaat geen associatie voor dit toestel
10203;707;3870;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Esneux;Luik;Siemens;SIEMENS-SOMATOM Emotion;Er bestaat geen associatie voor dit toestel
10204;707;3860;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Luik;Luik;Philips;PHILIPS-Brilliance Big Bore;Er bestaat geen associatie voor dit toestel
10205;707;2840;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Chênée;Luik;GE;GE-Brightspeed Elite;Er bestaat geen associatie voor dit toestel
10206;707;3860;"CENTRE HOSPITALIER
UNIVERSITAIRE SART-TILMAN";Luik;Luik;GE;GE-Brightspeed Elite;Er bestaat geen associatie voor dit toestel
10207;290;1630;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gent;Oost-Vlaanderen;GE;GE-Discovery CT750 HD;Er bestaat geen associatie voor dit toestel
10208;290;1630;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gent;Oost-Vlaanderen;GE;GE-Brightspeed Elite;Er bestaat geen associatie voor dit toestel
10212;265;1650;ALGEMEEN ZIEKENHUIS LOKEREN;Lokeren;Oost-Vlaanderen;Toshiba;TOSHIBA-Aquilion ONE;Er bestaat geen associatie voor dit toestel
10213;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;West-Vlaanderen;GE;GE-Discovery CT750 HD;Er bestaat geen associatie voor dit toestel
10217;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Brussel-Hoofdstad;Philips;BRILLIANCE ICT 256;Er bestaat geen associatie voor dit toestel
10220;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Brussel-Hoofdstad;GE;GE-Discovery CT750 HD;Er bestaat geen associatie voor dit toestel
10221;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Brussel-Hoofdstad;GE;GE-Revolution CT;Er bestaat geen associatie voor dit toestel
10222;713;1610;ALGEMEEN ZIEKENHUIS JAN PALFIJN;Gent;Oost-Vlaanderen;GE;GE-LightSpeed VCT;Er bestaat geen associatie voor dit toestel
10223;243;3570;JESSA ZIEKENHUIS;Hasselt;Limburg;GE;GE-Discovery CT750 HD;Er bestaat geen associatie voor dit toestel
10224;243;3580;JESSA ZIEKENHUIS;Herk-de-Stad;Limburg;GE;GE-LightSpeed Pro;Er bestaat geen associatie voor dit toestel
10225;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louvière;Henegouwen;Siemens;SIEMENS-SOMATOM Definition AS+;Er bestaat geen associatie voor dit toestel
10226;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louvière;Henegouwen;Siemens;SIEMENS-SOMATOM Emotion;Er bestaat geen associatie voor dit toestel
10227;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louvière;Henegouwen;Siemens;SIEMENS-SOMATOM Definition Flash;Er bestaat geen associatie voor dit toestel
10228;146;3210;CENTRES HOSPITALIERS JOLIMONT;Lobbes;Henegouwen;Siemens;SIEMENS-SOMATOM Definition AS;Er bestaat geen associatie voor dit toestel
10229;9;2000;"ZIEKENHUISNETWERK ANTWERPEN
VZW";Antwerpen;Antwerpen;Philips;PHILIPS-Brilliance;Er bestaat geen associatie voor dit toestel
10230;9;1180;"ZIEKENHUISNETWERK ANTWERPEN
VZW";Antwerpen;Antwerpen;Philips;PHILIPS-Ingenuity Core;Er bestaat geen associatie voor dit toestel
10231;96;3220;"CENTRE HOSPITALIER
UNIVERSITAIRE TIVOLI";La Louvière;Henegouwen;Siemens;SIEMENS-SOMATOM Definition AS+;Er bestaat geen associatie voor dit toestel
10232;96;3220;"CENTRE HOSPITALIER
UNIVERSITAIRE TIVOLI";La Louvière;Henegouwen;Toshiba;TOSHIBA-Aquilion One Vision;Er bestaat geen associatie voor dit toestel
10233;9;2000;"ZIEKENHUISNETWERK ANTWERPEN
VZW";Antwerpen;Antwerpen;Toshiba;Aquilion One;Er bestaat geen associatie voor dit toestel
10234;9;1190;"ZIEKENHUISNETWERK ANTWERPEN
VZW";Borgerhout;Antwerpen;Philips;PHILIPS-Brilliance;Er bestaat geen associatie voor dit toestel
10235;9;3360;"ZIEKENHUISNETWERK ANTWERPEN
VZW";Merksem;Antwerpen;Siemens;SIEMENS-SOMATOM Definition Flash;Er bestaat geen associatie voor dit toestel
10236;406;4210;"CLINIQUES UNIVERSITAIRES DE
BRUXELLES HOPITAL ERASME";Anderlecht;Brussel-Hoofdstad;Siemens;SIEMENS-SOMATOM Sensation;Er bestaat geen associatie voor dit toestel
10237;406;4210;"CLINIQUES UNIVERSITAIRES DE
BRUXELLES HOPITAL ERASME";Anderlecht;Brussel-Hoofdstad;Siemens;SIEMENS-SOMATOM Emotion;Er bestaat geen associatie voor dit toestel
10238;406;4210;"CLINIQUES UNIVERSITAIRES DE
BRUXELLES HOPITAL ERASME";Anderlecht;Brussel-Hoofdstad;Siemens;SIEMENS-SOMATOM Force;Er bestaat geen associatie voor dit toestel
10240;246;3700;"VIVALIA - CLINIQUE DU
SUD-LUXEMBOURG";Saint-Mard;Luxemburg;Siemens;SIEMENS-SOMATOM Emotion;Er bestaat geen associatie voor dit toestel
10241;246;3690;"VIVALIA - CLINIQUE DU
SUD-LUXEMBOURG";Aarlen;Luxemburg;Siemens;SIEMENS-SOMATOM Perspective;Er bestaat geen associatie voor dit toestel
10242;246;3690;"VIVALIA - CLINIQUE DU
SUD-LUXEMBOURG";Aarlen;Luxemburg;Siemens;SIEMENS-SOMATOM Force;Er bestaat geen associatie voor dit toestel
10243;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams-Brabant;Philips;PHILIPS-Ingenuity Core;Er bestaat geen associatie voor dit toestel
10244;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams-Brabant;Siemens;SIEMENS-SOMATOM Definition Flash;Er bestaat geen associatie voor dit toestel
10246;322;4270;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Pellenberg;Vlaams-Brabant;GE;GE-Brightspeed Elite;Er bestaat geen associatie voor dit toestel
10247;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams-Brabant;Siemens;SIEMENS-SOMATOM Sensation;Er bestaat geen associatie voor dit toestel
10248;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams-Brabant;Siemens;SIEMENS-SOMATOM Definition Flash;Er bestaat geen associatie voor dit toestel
10249;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams-Brabant;Toshiba;TOSHIBA-Aquilion One Vision;Er bestaat geen associatie voor dit toestel
10250;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams-Brabant;Siemens;SIEMENS-SOMATOM Force;Er bestaat geen associatie voor dit toestel
10251;403;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;Sint-Lambrechts-Woluwe;Brussel-Hoofdstad;Philips;PHILIPS-IQon;Er bestaat geen associatie voor dit toestel
10252;164;3720;VIVALIA - IFAC;Bastenaken;Luxemburg;Siemens;SIEMENS-SOMATOM Emotion;Er bestaat geen associatie voor dit toestel
10253;77;1570;CHU BRUGMANN;Laken;Brussel-Hoofdstad;Siemens;SIEMENS-SOMATOM Sensation;Er bestaat geen associatie voor dit toestel
10254;77;1570;CHU BRUGMANN;Laken;Brussel-Hoofdstad;Siemens;SIEMES-SOMATOM Definition AS;Er bestaat geen associatie voor dit toestel
10255;140;1000;ALGEMEEN ZIEKENHUIS ST. LUCAS;Brugge;West-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Flash;Er bestaat geen associatie voor dit toestel
10256;410;3060;CENTRE HOSPITALIER EPICURA;Baudour;Henegouwen;Siemens;SIEMENS-SOMATOM Definition AS+;Er bestaat geen associatie voor dit toestel
10257;410;3380;CENTRE HOSPITALIER EPICURA;Hornu;Henegouwen;GE;GE-LightSpeed Ultra;Er bestaat geen associatie voor dit toestel
10258;410;3380;CENTRE HOSPITALIER EPICURA;Hornu;Henegouwen;GE;GE-LightSpeed VCT;Er bestaat geen associatie voor dit toestel
10259;410;3390;CENTRE HOSPITALIER EPICURA;Frameries;Henegouwen;GE;BRIGHTSPEED VELOCITY;Er bestaat geen associatie voor dit toestel
10260;724;1910;CENTRE HOSPITALIER EPICURA;Aat;Henegouwen;Siemens;SIEMENS-SOMATOM Definition AS+;Er bestaat geen associatie voor dit toestel
10261;4;2950;CLINIQUE REINE ASTRID;Malmedy;Luik;GE;GE-Optima CT540;Er bestaat geen associatie voor dit toestel
10263;412;3410;"CENTRE HOSPITALIER REGIONAL DE
LA CITADELLE";Luik;Luik;Mobius Imaging;AIRO;Er bestaat geen associatie voor dit toestel
10264;150;3440;"HOPITAL UNIVERSITAIRE DES
ENFANTS REINE FABIOLA";Laken;Brussel-Hoofdstad;Siemens;SIEMENS-SOMATOM Sensation;Er bestaat geen associatie voor dit toestel
10265;170;1660;"ALGEMEEN ZIEKENHUIS
OUDENAARDE Vzw";Oudenaarde;Oost-Vlaanderen;GE;GE-LightSpeed Pro;Er bestaat geen associatie voor dit toestel
10266;170;1660;"ALGEMEEN ZIEKENHUIS
OUDENAARDE Vzw";Oudenaarde;Oost-Vlaanderen;Siemens;SIEMENS-SOMATOM Emotion;Er bestaat geen associatie voor dit toestel
10267;42;2990;"CENTRE HOSPITALIER DU BOIS DE
L'ABBAYE";Seraing;Luik;Siemens;SIEMENS-SOMATOM Definition AS+;Er bestaat geen associatie voor dit toestel
10268;42;2990;"CENTRE HOSPITALIER DU BOIS DE
L'ABBAYE";Seraing;Luik;Siemens;SIEMENS-SOMATOM Definition Flash;Er bestaat geen associatie voor dit toestel
10269;42;3000;"CENTRE HOSPITALIER DU BOIS DE
L'ABBAYE";Borgworm;Luik;Siemens;SIEMENS-SOMATOM Emotion;Er bestaat geen associatie voor dit toestel
10270;346;1710;CENTRES HOSPITALIERS JOLIMONT;Nijvel;Waals-Brabant;Siemens;SIEMES-SOMATOM Definition AS 128;Er bestaat geen associatie voor dit toestel
10271;346;1720;CENTRES HOSPITALIERS JOLIMONT;Tubeke;Waals-Brabant;Siemens;SIEMENS-SOMATOM Emotion;Er bestaat geen associatie voor dit toestel
10272;77;1570;CHU BRUGMANN;Neder-Over-Heembeek;Brussel-Hoofdstad;Siemens;SIEMENS-SOMATOM Definition AS+;Er bestaat geen associatie voor dit toestel
10273;106;1340;ALGEMEEN ZIEKENHUIS SINT- MARIA;Halle;Vlaams-Brabant;Siemens;SIEMENS-SOMATOM Definition AS+;Er bestaat geen associatie voor dit toestel
10274;87;1540;"HOPITAUX IRIS SUD - IRIS
ZIEKENHUIZEN ZUID";Anderlecht;Brussel-Hoofdstad;GE;GE-Revolution Evo;Er bestaat geen associatie voor dit toestel
10275;689;2040;IMELDA ZIEKENHUIS;Bonheiden;Antwerpen;Siemens;SIEMENS SOMATOM FORCE;Er bestaat geen associatie voor dit toestel
10276;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams-Brabant;Brainlab;AIRO;Er bestaat geen associatie voor dit toestel
10277;126;1790;ONZE LIEVE VROUW ZIEKENHUIS;Ninove;Oost-Vlaanderen;Siemens;SIEMENS-SOMATOM Perspective;Er bestaat geen associatie voor dit toestel
10278;87;1560;"HOPITAUX IRIS SUD - IRIS
ZIEKENHUIZEN ZUID";Elsene;Brussel-Hoofdstad;GE;REVOLUTION EVO;Er bestaat geen associatie voor dit toestel
10279;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;West-Vlaanderen;GE;GE-Optima CT580W;Er bestaat geen associatie voor dit toestel
10280;104;2060;SINT-JOZEFKLINIEK;Bornem;Antwerpen;General Electric;GE-Revolution Evo;Er bestaat geen associatie voor dit toestel
10281;371;3560;ZIEKENHUIS OOST-LIMBURG;Genk;Limburg;Siemens;SIEMENS-SOMATOM Force;Er bestaat geen associatie voor dit toestel
10282;23;2860;CLINIQUE ANDRE RENARD;Herstal;Luik;Toshiba;TOSHIBA-Aquilion Prime;Er bestaat geen associatie voor dit toestel
10283;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Brussel-Hoofdstad;GE;GE-Revolution CT;Er bestaat geen associatie voor dit toestel
10284;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;West-Vlaanderen;GE;GE-Revolution Evo;Er bestaat geen associatie voor dit toestel
10285;396;1090;ALGEMEEN ZIEKENHUIS GROENINGE;Kortrijk;West-Vlaanderen;GE;GE-Revolution CT;Er bestaat geen associatie voor dit toestel
10286;32;1845;ALGEMEEN ZIEKENHUIS ALMA;Eeklo;Oost-Vlaanderen;GE;GE-Revolution CT;Er bestaat geen associatie voor dit toestel
10287;412;3420;"CENTRE HOSPITALIER REGIONAL DE
LA CITADELLE";Luik;Luik;Siemens;Somatom Scope Power 32;Er bestaat geen associatie voor dit toestel
10288;716;3670;ALGEMEEN ZIEKENHUIS VESALIUS;Tongeren;Limburg;GE;GE-Revolution CT;Er bestaat geen associatie voor dit toestel
10289;7;2790;"CENTRE HOSPITALIER DE LA HAUTE
SENNE";Zinnik;Henegouwen;"GE
HEALTHCARE";REVOLUTION DISCOVERY CT;Er bestaat geen associatie voor dit toestel
10290;168;3240;"VIVALIA - CENTRE HOSPITALIER DE
L'ARDENNE";Libramont-Chevigny;Luxemburg;Siemens;Somatom Perspective 128;Er bestaat geen associatie voor dit toestel
10291;247;2770;CENTRE HOSPITALIER DE MOUSCRON;Moeskroen;Henegouwen;Toshiba;TOSHIBA-Aquilion Prime;Er bestaat geen associatie voor dit toestel
10292;63;1280;ALGEMEEN ZIEKENHUIS TURNHOUT;Turnhout;Antwerpen;GE;GE-Revolution CT;Er bestaat geen associatie voor dit toestel
10293;406;4210;"CLINIQUES UNIVERSITAIRES DE
BRUXELLES HOPITAL ERASME";Anderlecht;Brussel-Hoofdstad;Siemens;SIEMENS SOMATOM DEFINITION AS;Er bestaat geen associatie voor dit toestel
10294;247;2770;CENTRE HOSPITALIER DE MOUSCRON;Moeskroen;Henegouwen;Toshiba;Aquilion Prime 80 (TSX-303A/AC);Er bestaat geen associatie voor dit toestel
10295;124;1920;ST.-JOZEFSKLINIEK;Izegem;West-Vlaanderen;GE;GE-Revolution Evo;Er bestaat geen associatie voor dit toestel
10296;168;3240;"VIVALIA - CENTRE HOSPITALIER DE
L'ARDENNE";Libramont-Chevigny;Luxemburg;"Siemens
Healthcare
GmbH";SOMATOM Force;Er bestaat geen associatie voor dit toestel
10297;412;3410;"CENTRE HOSPITALIER REGIONAL DE
LA CITADELLE";Luik;Luik;Siemens;SOMATOM GO UP;Er bestaat geen associatie voor dit toestel
10299;717;6120;ZIEKENHUIS MAAS EN KEMPEN V.Z.W.;Maaseik;Limburg;GE;GE-Revolution Evo;Er bestaat geen associatie voor dit toestel
10300;77;1590;CHU BRUGMANN;Schaarbeek;Brussel-Hoofdstad;Siemens;Somatom Definition AS128;Er bestaat geen associatie voor dit toestel
10301;152;2960;"CENTRE HOSPITALIER CHRETIEN - ST.
JOSEPH";Luik;Luik;GE;BRIGHSPEED EDGE ADVANTAGE;Er bestaat geen associatie voor dit toestel
10302;158;2940;CENTRE HOSPITALIER CHRETIEN;"Hermalle-sous
-Argenteau";Luik;GE;GE-Brightspeed Elite;Er bestaat geen associatie voor dit toestel
10303;332;6140;CHIREC - DELTA;Oudergem;Brussel-Hoofdstad;Siemens;SIEMES-SOMATOM Definition AS;Er bestaat geen associatie voor dit toestel
10304;332;6140;CHIREC - DELTA;Oudergem;Brussel-Hoofdstad;Siemens;SIEMENS-SOMATOM Force;Er bestaat geen associatie voor dit toestel
10305;332;6140;CHIREC - DELTA;Oudergem;Brussel-Hoofdstad;Siemens;SOMATOM CONFIDENCE;Er bestaat geen associatie voor dit toestel
