Numéro d'appareil;Numéro d'agrément;Numéro de campus;Nom de l'exploitant;Commune;Province/Région de Région de Bruxelles-Capitale;Fabricant;Modèle;Type d'utilisation;Hopitaux en association
10312;170;1660;ALGEMEEN ZIEKENHUIS OUDENAARDE Vzw;Oudenaarde;Flandre Orientale;Siemens;SIEMENS-SOMATOM Definition Flash;;
10313;689;2040;IMELDA ZIEKENHUIS;Bonheiden;Anvers;Siemens;Somatom Definition AS64;;
10314;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Liège;Liège;GE;GE-Revolution CT;;
10315;707;2840;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Chênée;Liège;Siemens;SOMATOM EDGE PLUS;;
10316;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Anvers;GE;DISCOVERY RT;;
10317;249;3160;CENTRE DE SANTE DES FAGNES;Chimay;Hainaut;CANON médical systèms corporation ;TSX-303B;;
10318;6;3300;CENTRE HOSPITALIER REGIONAL DE NAMUR;Namur;Namur;Siemens;SIEMENS-SOMATOM Perspective 128;;
10319;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Liège;Liège;Siemens;SOMATOM EDGE PLUS;;
10321;43;1730;CLINIQUE SAINT PIERRE;Ottignies-Louvain-La-Neuve;Brabant Wallon;Siemens;Somatom Drive;;
10322;26;6170;ALGEMEEN ZIEKENHUIS ST. MAARTEN;Mechelen;Anvers;Siemens;SIEMENS - SOMATOM CONFIDENCE;;
10323;26;6170;ALGEMEEN ZIEKENHUIS ST. MAARTEN;Mechelen;Anvers;Siemens;SIEMENS-SOMATOM Force;;
10325;164;3230;VIVALIA - IFAC;Marche-En-Famenne;Luxembourg;Siemens;Somatom Go Up;;
10326;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;SIEMENS-SOMATOM Definition Edge;;
10327;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;SIEMENS-SOMATOM Definition Edge;;
10328;6;3300;CENTRE HOSPITALIER REGIONAL DE NAMUR;Namur;Namur;Siemens;SIEMENS-SOMATOM Definition AS+;;
10329;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Anvers;GE;REVOLUTION CT;;
10330;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;Somatom Definition Edge Sliding Gantry;;
10331;723;1470;C.H. INTERREGIONAL EDITH CAVELL - SARE;Anderlecht;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Force;;
10332;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Anvers;GE;REVOLUTION CT;;
10333;176;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Alost;Flandre Orientale;CANON;CANON AQUILION ONE GENESIS;;
10336;104;2060;AZ RIVIERENLAND;Bornem;Anvers;General Electric;GE-Revolution Evo;;
10337;104;1270;AZ RIVIERENLAND;Rumst;Anvers;Philips;PHILIPS-IQon;;
10338;723;1760;C.H. INTERREGIONAL EDITH CAVELL - SARE;Braine-L'Alleud;Brabant Wallon;Siemens;Somatom Definition Edge;;
10339;134;1830;ST.-VINCENTIUSZIEKENHUIS;Deinze;Flandre Orientale;GE;GE-Revolution CT;;
10340;243;3580;JESSA ZIEKENHUIS;Herck-La-Ville;Limbourg;Toshiba;TOSHIBA-Aquilion RXL;;
10341;243;3590;JESSA ZIEKENHUIS;Hasselt;Limbourg;Siemens;SOMATOM GO TOP;;
10342;17;1605;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gand;Flandre Orientale;Siemens;SIEMENS-SOMATOM Definition Edge;;
10343;243;3570;JESSA ZIEKENHUIS;Hasselt;Limbourg;Siemens;SOMATOM GO TOP;;
10344;176;1810;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Wetteren;Flandre orientale;Toshiba;TOSHIBA-Aquilion Prime;;
10345;392;1040;ALGEMEEN ZIEKENHUIS ZENO;Blankenberge;Flandre Occidentale;Toshiba;TOSHIBA-Alexion Advance;;
10346;332;6140;CHIREC - DELTA;Auderghem;Région de Bruxelles-Capitale;Siemens;SOMATOM GO TOP;;
10347;117;1970;ALGEMEEN ZIEKENHUIS DELTA;Torhout;Flandre occidentale;GE;GE-Optima CT660;;
10348;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Brabant Flamand;Siemens;Somatom Drive;;
10349;99;2030;GZA- ZIEKENHUIZEN;Mortsel;Anvers;Siemens;SIEMENS-SOMATOM GO.UP;;
10350;719;3615;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limbourg;GE;GE-Revolution CT;;
10351;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Région de Bruxelles-Capitale;GE;GE-Optima CT540;;
10352;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Région de Bruxelles-Capitale;Siemens;SIEMES-SOMATOM Definition AS;;
10354;723;1770;C.H. INTERREGIONAL EDITH CAVELL - SARE;Ganshoren;Région de Bruxelles-Capitale;Siemens;SOMATOM GO TOP;;
10355;99;1290;GZA- ZIEKENHUIZEN;Anvers;Anvers;Siemens;SIEMENS SOMATOM DRIVE;;
10358;99;1290;GZA- ZIEKENHUIZEN;Anvers;Anvers;Siemens;SOMATOM GO.TOP;;
10359;111;1400;EUROPAZIEKENHUIZEN V.Z.W.;Uccle;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Force;;
10360;290;1630;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gand;Flandre Orientale;GE;GE-Revolution CT;;
10361;99;2020;GZA-ZIEKENHUIZEN CAMPUS ST. VINCENTIUS;Anvers;Anvers;Siemens;SOMATOM GO.TOP;;
10362;117;6210;AZ DELTA;Roulers;Flandre Occidentale;Siemens;SIEMENS-SOMATOM Force;;
10363;117;6210;AZ DELTA;Roulers;Flandre Occidentale;Siemens;SIEMENS-SOMATOM Force;;
10364;152;6200;GROUPE SANTE CHC;Liège;Liège;Toshiba;TOSHIBA-Aquilion One Vision;;
10365;152;6200;GROUPE SANTE CHC;Liège;Liège;GE;GE-Discovery CT750 HD;;
10366;152;6200;GROUPE SANTE CHC;Liège;Liège;Siemens;SOMATON DRIVE;;
10367;152;6200;GROUPE SANTE CHC;Liège;Liège;Siemens;SIEMENS-SOMATOM Definition Edge;;
10368;104;2110;AZ RIVIERENLAND;Willebroek;Anvers;GE;GE-Revolution Evo;;
10369;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;CANON;CANON;;
10370;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE DE LIEGE;Liège;Liège;Siemens;SIEMENS-SOMATOM Emotion;;
10371;117;1100;AZ DELTA;Roulers;Flandre Occidentale;Siemens;SIEMES-SOMATOM Definition AS;;
10372;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;Siemens;SIEMENS SOMATOM CONFIDENCE ;;
10373;87;1550;ASSOCIATION HOSPITALIERE DE DROIT PUBLIC-HOPITAUX IRIS SUD;Forest;Région de Bruxelles-Capitale;Toshiba;PRIME SP-TSX-303B/5C;;
10374;87;1530;ASSOCIATION HOSPITALIERE DE DROIT PUBLIC-HOPITAUX IRIS SUD;Etterbeek;Région de Bruxelles-Capitale;Toshiba;TOSHIBA-Aquilion 64 CXL;;
10375;109;1380;REGIONAAL ZIEKENHUIS HEILIG HART TIENEN;Aarschot;Brabant Flamand;Siemens;SOMATOM go.TOP;;
10376;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Hainaut;GE;GE-Discovery CT750 HD;;
10378;77;1570;CHU BRUGMANN;Bruxelles;Région de Bruxelles-Capitale;Siemens;SIEMENS SOMATOM DRIVE;;
10379;111;1420;CLINIQUES DE L'EUROPE;Etterbeek;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Force;;
10380;724;1910;EPICURA ATH;Ath;Hainaut;Siemens;SIEMENS-SOMATOM GO.UP;;
10381;536;2090;ALGEMEEN ZIEKENHUIS SINT JOZEF;Malle;Anvers;Toshiba;CANON AQUILION PRISM;;
10382;77;1570;CHU BRUGMANN;Bruxelles;Région de Bruxelles-Capitale;Siemens;Emotion 16;;
10383;371;3560;ZIEKENHUIS OOST-LIMBURG;Genk;Limbourg;Siemens;SIEMENS GO.TOP;;
10384;371;3040;ZIEKENHUIS OOST-LIMBURG;Lanaken;Limbourg;Siemens;SOMATOM go.All;;
10386;204;1460;AZ JAN PORTAELS;Vilvorde;Brabant Flamand;CANON;CANON AQUILIN ONE GENESIS;;
10387;111;1420;CLINIQUES DE L'EUROPE;Uccle;Région de Bruxelles-Capitale;Siemens;SIEMENS-SOMATOM Definition Edge;;
10388;243;3590;JESSA ZIEKENHUIS;Hasselt;Limbourg;Toshiba;CANON AQUILION LIGHTNING SP;;
10389;126;1780;OLV ZIEKENHUIS AALST;Alost;Flandre Orientale;Siemens;SIEMENS-SOMATOM Force;;
10390;99;1290;GZA-ZIEKENHUIZEN CAMPUS ST. AUGUSTINUS;Anvers;Anvers;Siemens;SOMATOM GO.SIM;;
10391;715;3650;SINT-TRUDO ZIEKENHUIS;Saint-Trond;Limbourg;Siemens;SIEMENS SOMATOM GO. TOP;;
10392;166;3290;CHU UCL NAMUR SITE STE ELISABETH;Namur;Namur;Canon (ex Thoshiba);TOSHIBA-Aquilion 64;;
10393;143;4200;UIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Région de Bruxelles-Capitale;Toshiba;TOSHIBA-Aquilion ONE;;
10395;57;1120;JAN YPERMANZIEKENHUIS VZW;Poperinge;Flandre Occidentale;Siemens;SOMATOM GO.ALL;;
