Toestelnummer;Erkenningsnummer;Campusnummer;Naam exploitant;Gemeente;Provincie / Brussels Hoofdstedelijk Gewest ;Fabrikant;Model;Type gebruik;Ziekenhuizen in associatie
10308;257;2980;KLINIK ST.-JOSEF;Sankt Vith;Luik;Siemens;SIEMENS-SOMATOM Definition Edge;;
10309;164;3720;VIVALIA - IFAC;Bastenaken;Luxemburg;Siemens;Somatom Definition AS128;;
10310;595;1860;ALGEMEEN ZIEKENHUIS NIKOLAAS;Sint-Niklaas;Oost-Vlaanderen;GE;GE-Revolution CT;;
10311;392;6160;ALGEMEEN ZIEKENHUIS ZENO;Knokke-Heist;West-Vlaanderen;GE;GE-Revolution CT;;
10312;170;1660;ALGEMEEN ZIEKENHUIS OUDENAARDE Vzw;Oudenaarde;Oost-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Flash;;
10313;689;2040;IMELDA ZIEKENHUIS;Bonheiden;Antwerpen;Siemens;Somatom Definition AS64;;
10314;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Luik;Luik;GE;GE-Revolution CT;;
10315;707;2840;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Chênée;Luik;Siemens;SOMATOM EDGE PLUS;;
10316;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Antwerpen;GE;DISCOVERY RT;;
10317;249;3160;CENTRE DE SANTE DES FAGNES;Chimay;Henegouwen;CANON médical systèms corporation ;TSX-303B;;
10318;6;3300;CENTRE HOSPITALIER REGIONAL DE NAMUR;Namen;Namen;Siemens;SIEMENS-SOMATOM Perspective 128;;
10319;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE SART-TILMAN;Luik;Luik;Siemens;SOMATOM EDGE PLUS;;
10321;43;1730;CLINIQUE SAINT PIERRE;Ottignies-Louvain-La-Neuve;Waals Brabant;Siemens;Somatom Drive;;
10322;26;6170;ALGEMEEN ZIEKENHUIS ST. MAARTEN;Mechelen;Antwerpen;Siemens;SIEMENS - SOMATOM CONFIDENCE;;
10323;26;6170;ALGEMEEN ZIEKENHUIS ST. MAARTEN;Mechelen;Antwerpen;Siemens;SIEMENS-SOMATOM Force;;
10325;164;3230;VIVALIA - IFAC;Marche-En-Famenne;Luxemburg;Siemens;Somatom Go Up;;
10326;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams Brabant;Siemens;SIEMENS-SOMATOM Definition Edge;;
10327;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams Brabant;Siemens;SIEMENS-SOMATOM Definition Edge;;
10328;6;3300;CENTRE HOSPITALIER REGIONAL DE NAMUR;Namen;Namen;Siemens;SIEMENS-SOMATOM Definition AS+;;
10329;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Antwerpen;GE;REVOLUTION CT;;
10330;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams Brabant;Siemens;Somatom Definition Edge Sliding Gantry;;
10331;723;1470;C.H. INTERREGIONAL EDITH CAVELL - SARE;Anderlecht;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Force;;
10332;300;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;Antwerpen;GE;REVOLUTION CT;;
10333;176;1800;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Aalst;Oost-Vlaanderen;CANON;CANON AQUILION ONE GENESIS;;
10336;104;2060;AZ RIVIERENLAND;Bornem;Antwerpen;General Electric;GE-Revolution Evo;;
10337;104;1270;AZ RIVIERENLAND;Rumst;Antwerpen;Philips;PHILIPS-IQon;;
10338;723;1760;C.H. INTERREGIONAL EDITH CAVELL - SARE;Eigenbrakel;Waals Brabant;Siemens;Somatom Definition Edge;;
10339;134;1830;ST.-VINCENTIUSZIEKENHUIS;Deinze;Oost-Vlaanderen;GE;GE-Revolution CT;;
10340;243;3580;JESSA ZIEKENHUIS;Herk-De-Stad;Limburg;Toshiba;TOSHIBA-Aquilion RXL;;
10341;243;3590;JESSA ZIEKENHUIS;Hasselt;Limburg;Siemens;SOMATOM GO TOP;;
10342;17;1605;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;Gent;Oost-Vlaanderen;Siemens;SIEMENS-SOMATOM Definition Edge;;
10343;243;3570;JESSA ZIEKENHUIS;Hasselt;Limburg;Siemens;SOMATOM GO TOP;;
10344;176;1810;A.S.Z. - AUTONOME VERZORGINGSINSTELLING;Wetteren;Oost-Vlaanderen;Toshiba;TOSHIBA-Aquilion Prime;;
10345;392;1040;ALGEMEEN ZIEKENHUIS ZENO;Blankenberge;West-Vlaanderen;Toshiba;TOSHIBA-Alexion Advance;;
10346;332;6140;CHIREC - DELTA;Oudergem;Brussels Hoofdstedelijk Gewest;Siemens;SOMATOM GO TOP;;
10347;117;1970;ALGEMEEN ZIEKENHUIS DELTA;Torhout;West-Vlaanderen;GE;GE-Optima CT660;;
10348;322;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;Leuven;Vlaams Brabant;Siemens;Somatom Drive;;
10349;99;2030;GZA- ZIEKENHUIZEN;Mortsel;Antwerpen;Siemens;SIEMENS-SOMATOM GO.UP;;
10350;719;3615;MARIA ZIEKENHUIS NOORD-LIMBURG;Overpelt;Limburg;GE;GE-Revolution CT;;
10351;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Brussels Hoofdstedelijk Gewest;GE;GE-Optima CT540;;
10352;143;4200;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Brussels Hoofdstedelijk Gewest;Siemens;SIEMES-SOMATOM Definition AS;;
10354;723;1770;C.H. INTERREGIONAL EDITH CAVELL - SARE;Ganshoren;Brussels Hoofdstedelijk Gewest;Siemens;SOMATOM GO TOP;;
10355;99;1290;GZA- ZIEKENHUIZEN;Antwerpen;Antwerpen;Siemens;SIEMENS SOMATOM DRIVE;;
10358;99;1290;GZA- ZIEKENHUIZEN;Antwerpen;Antwerpen;Siemens;SOMATOM GO.TOP;;
10359;111;1400;EUROPAZIEKENHUIZEN V.Z.W.;Ukkel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Force;;
10360;290;1630;ALGEMEEN ZIEKENHUIS ST. LUCAS;Gent;Oost-Vlaanderen;GE;GE-Revolution CT;;
10361;99;2020;GZA-ZIEKENHUIZEN CAMPUS ST. VINCENTIUS;Antwerpen;Antwerpen;Siemens;SOMATOM GO.TOP;;
10362;117;6210;AZ DELTA;Roeselare;West-Vlaanderen;Siemens;SIEMENS-SOMATOM Force;;
10363;117;6210;AZ DELTA;Roeselare;West-Vlaanderen;Siemens;SIEMENS-SOMATOM Force;;
10364;152;6200;GROUPE SANTE CHC;Luik;Luik;Toshiba;TOSHIBA-Aquilion One Vision;;
10365;152;6200;GROUPE SANTE CHC;Luik;Luik;GE;GE-Discovery CT750 HD;;
10366;152;6200;GROUPE SANTE CHC;Luik;Luik;Siemens;SOMATON DRIVE;;
10367;152;6200;GROUPE SANTE CHC;Luik;Luik;Siemens;SIEMENS-SOMATOM Definition Edge;;
10368;104;2110;AZ RIVIERENLAND;Willebroek;Antwerpen;GE;GE-Revolution Evo;;
10369;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Henegouwen;CANON;CANON;;
10370;707;3860;CENTRE HOSPITALIER UNIVERSITAIRE DE LIEGE;Luik;Luik;Siemens;SIEMENS-SOMATOM Emotion;;
10371;117;1100;AZ DELTA;Roeselare;West-Vlaanderen;Siemens;SIEMES-SOMATOM Definition AS;;
10372;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Henegouwen;Siemens;SIEMENS SOMATOM CONFIDENCE ;;
10373;87;1550;ASSOCIATION HOSPITALIERE DE DROIT PUBLIC-HOPITAUX IRIS SUD;Vorst;Brussels Hoofdstedelijk Gewest;Toshiba;PRIME SP-TSX-303B/5C;;
10374;87;1530;ASSOCIATION HOSPITALIERE DE DROIT PUBLIC-HOPITAUX IRIS SUD;Etterbeek;Brussels Hoofdstedelijk Gewest;Toshiba;TOSHIBA-Aquilion 64 CXL;;
10375;109;1380;REGIONAAL ZIEKENHUIS HEILIG HART TIENEN;Aarschot;Vlaams Brabant;Siemens;SOMATOM go.TOP;;
10376;146;3200;CENTRES HOSPITALIERS JOLIMONT;La Louviere;Henegouwen;GE;GE-Discovery CT750 HD;;
10378;77;1570;CHU BRUGMANN;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS SOMATOM DRIVE;;
10379;111;1420;CLINIQUES DE L'EUROPE;Etterbeek;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Force;;
10380;724;1910;EPICURA ATH;Aat;Henegouwen;Siemens;SIEMENS-SOMATOM GO.UP;;
10381;536;2090;ALGEMEEN ZIEKENHUIS SINT JOZEF;Malle;Antwerpen;Toshiba;CANON AQUILION PRISM;;
10382;77;1570;CHU BRUGMANN;Brussel;Brussels Hoofdstedelijk Gewest;Siemens;Emotion 16;;
10383;371;3560;ZIEKENHUIS OOST-LIMBURG;Genk;Limburg;Siemens;SIEMENS GO.TOP;;
10384;371;3040;ZIEKENHUIS OOST-LIMBURG;Lanaken;Limburg;Siemens;SOMATOM go.All;;
10386;204;1460;AZ JAN PORTAELS;Vilvoorde;Vlaams Brabant;CANON;CANON AQUILIN ONE GENESIS;;
10387;111;1420;CLINIQUES DE L'EUROPE;Ukkel;Brussels Hoofdstedelijk Gewest;Siemens;SIEMENS-SOMATOM Definition Edge;;
10388;243;3590;JESSA ZIEKENHUIS;Hasselt;Limburg;Toshiba;CANON AQUILION LIGHTNING SP;;
10389;126;1780;OLV ZIEKENHUIS AALST;Aalst;Oost-Vlaanderen;Siemens;SIEMENS-SOMATOM Force;;
10390;99;1290;GZA-ZIEKENHUIZEN CAMPUS ST. AUGUSTINUS;Antwerpen;Antwerpen;Siemens;SOMATOM GO.SIM;;
10391;715;3650;SINT-TRUDO ZIEKENHUIS;Sint-Truiden;Limburg;Siemens;SIEMENS SOMATOM GO. TOP;;
10392;166;3290;CHU UCL NAMUR SITE STE ELISABETH;Namen;Namen;Canon (ex Thoshiba);TOSHIBA-Aquilion 64;;
10393;143;4200;UIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;Brussels Hoofdstedelijk Gewest;Toshiba;TOSHIBA-Aquilion ONE;;
10395;57;1120;JAN YPERMANZIEKENHUIS VZW;Poperinge;West-Vlaanderen;Siemens;SOMATOM GO.ALL;;
